0.000000	39	-308	-466	12	147	-120	955	-481	15466
0.000000	40	-309	-467	39	123	-111	1060	-572	15412
0.016000	38	-309	-466	21	180	-115	928	-496	15376
0.032000	38	-308	-465	7	148	-108	912	-500	15440
0.048000	39	-306	-466	21	160	-118	992	-464	15548
0.064000	40	-309	-467	-12	158	-113	856	-476	15572
0.080000	41	-309	-465	26	154	-117	1024	-572	15452
0.096000	40	-309	-467	17	163	-95	908	-420	15444
0.112000	39	-309	-466	21	184	-105	952	-488	15456
0.128000	38	-307	-467	54	167	-135	960	-468	15328
0.144000	38	-311	-468	43	191	-134	1008	-464	15596
0.160000	40	-309	-466	43	265	-129	976	-472	15356
0.176000	40	-311	-463	6	129	-137	948	-540	15344
0.192000	38	-310	-468	162	223	-111	1044	-504	15500
0.208000	39	-312	-469	102	264	-107	1080	-488	15448
0.224000	42	-309	-465	22	124	-130	928	-388	15472
0.240000	40	-312	-464	57	127	-118	912	-376	15360
0.256000	39	-311	-467	62	194	-117	944	-468	15508
0.272000	41	-309	-463	14	150	-121	908	-464	15416
0.288000	40	-310	-468	30	136	-107	864	-476	15444
0.304000	39	-312	-466	28	139	-104	928	-396	15432
0.320000	36	-310	-466	74	155	-107	972	-444	15540
0.336000	39	-311	-467	58	210	-101	920	-404	15260
0.352000	41	-312	-464	201	265	-118	940	-464	15448
0.368000	39	-313	-466	697	208	-135	756	-440	15768
0.384000	40	-313	-465	1420	319	-131	896	-444	15708
0.400000	40	-320	-463	334	271	-269	864	228	14868
0.416000	44	-322	-465	-331	169	-137	792	-380	15588
0.432000	40	-320	-467	-61	151	-111	860	-292	15640
0.448000	39	-316	-464	-79	171	-142	892	-220	15480
0.464000	42	-319	-468	131	55	-130	936	-444	15624
0.480000	39	-321	-462	243	106	-120	916	-232	15604
0.496000	41	-318	-464	442	39	-128	936	-260	15680
0.512000	40	-323	-461	2346	16	-150	764	-236	15740
0.528000	41	-330	-463	3837	65	-214	868	28	15644
0.544000	41	-350	-460	5688	-123	-261	1012	488	15648
0.560000	42	-367	-458	6278	35	-254	1032	1656	14892
0.576000	40	-379	-453	7135	-129	-271	884	2812	13776
0.592000	42	-401	-446	6047	-36	-317	964	2020	15868
0.608000	39	-422	-438	7426	-187	-569	976	3248	14736
